,Age,Survived,Pclass,SibSp,Fare,Gender
0,2,0,3,1,0,0
1,3,1,1,1,3,1
2,2,1,3,0,1,1
3,3,1,1,1,3,1
4,3,0,3,0,1,0
5,2,0,3,0,1,0
6,4,0,1,0,3,0
7,0,0,3,3,2,0
8,2,1,3,0,1,1
9,1,1,2,1,2,1
10,0,1,3,1,2,1
11,5,1,1,0,2,1
12,2,0,3,0,1,0
13,3,0,3,1,3,0
14,1,0,3,0,0,1
15,4,1,2,0,2,1
16,0,0,3,4,2,0
17,2,1,2,0,1,0
18,3,0,3,1,2,1
19,2,1,3,0,0,1
20,3,0,2,0,2,0
21,3,1,2,0,1,0
22,1,1,3,0,1,1
23,2,1,1,0,3,0
24,1,0,3,3,2,1
25,3,1,3,1,3,1
26,2,0,3,0,0,0
27,2,0,1,3,3,0
28,2,1,3,0,0,1
29,2,0,3,0,0,0
30,3,0,1,0,2,0
31,2,1,1,1,3,1
32,2,1,3,0,0,1
33,6,0,2,0,1,0
34,2,0,1,1,3,0
35,4,0,1,1,3,0
36,2,1,3,0,0,0
37,2,0,3,0,1,0
38,2,0,3,2,2,1
39,1,1,3,1,1,1
40,3,0,3,1,1,1
41,2,0,2,1,2,1
42,2,0,3,0,0,0
43,0,1,2,1,3,1
44,2,1,3,0,0,1
45,2,0,3,0,1,0
46,2,0,3,1,2,0
47,2,1,3,0,0,1
48,2,0,3,2,2,0
49,2,0,3,1,2,1
50,1,0,3,4,3,0
51,2,0,3,0,0,0
52,4,1,1,1,3,1
53,2,1,2,1,2,1
54,5,0,1,0,3,0
55,2,1,1,0,3,0
56,2,1,2,0,1,1
57,2,0,3,0,0,0
58,0,1,2,1,2,1
59,1,0,3,5,3,0
60,2,0,3,0,0,0
61,3,1,1,0,3,1
62,4,0,1,1,3,0
63,0,0,3,3,2,0
64,2,0,1,0,2,0
65,2,1,3,1,2,0
66,2,1,2,0,1,1
67,2,0,3,0,1,0
68,2,1,3,4,1,1
69,2,0,3,2,1,0
70,3,0,2,0,1,0
71,2,0,3,5,3,1
72,2,0,2,0,3,0
73,2,0,3,1,2,0
74,3,1,3,0,3,0
75,2,0,3,0,0,0
76,2,0,3,0,0,0
77,2,0,3,0,1,0
78,0,1,2,0,2,0
79,2,1,3,0,1,1
80,2,0,3,0,1,0
81,2,1,3,0,1,0
82,2,1,3,0,0,1
83,2,0,1,0,3,0
84,2,1,2,0,1,1
85,3,1,3,3,2,1
86,2,0,3,1,3,0
87,2,0,3,0,1,0
88,2,1,1,3,3,1
89,2,0,3,0,1,0
90,2,0,3,0,1,0
91,2,0,3,0,0,0
92,4,0,1,1,3,0
93,2,0,3,1,2,0
94,5,0,3,0,0,0
95,2,0,3,0,1,0
96,6,0,1,0,3,0
97,2,1,1,0,3,0
98,3,1,2,0,2,1
99,3,0,2,1,2,0
100,2,0,3,0,0,1
101,2,0,3,0,0,0
102,2,0,1,0,3,0
103,3,0,3,0,1,0
104,3,0,3,2,1,0
105,2,0,3,0,0,0
106,2,1,3,0,0,1
107,2,1,3,0,0,0
108,3,0,3,0,0,0
109,2,1,3,1,2,1
110,4,0,1,0,3,0
111,1,0,3,1,2,1
112,2,0,3,0,1,0
113,2,0,3,1,1,1
114,2,0,3,0,2,1
115,2,0,3,0,1,0
116,6,0,3,0,0,0
117,2,0,2,1,2,0
118,2,0,1,0,3,0
119,0,0,3,4,3,1
120,2,0,2,2,3,0
121,2,0,3,0,1,0
122,3,0,2,1,2,0
123,3,1,2,0,1,1
124,4,0,1,0,3,0
125,1,1,3,1,1,0
126,2,0,3,0,0,0
127,2,1,3,0,0,0
128,2,1,3,1,2,1
129,4,0,3,0,0,0
130,3,0,3,0,0,0
131,2,0,3,0,0,0
132,4,0,3,1,2,1
133,2,1,2,1,2,1
134,2,0,2,0,1,0
135,2,0,2,0,2,0
136,2,1,1,0,2,1
137,3,0,1,1,3,0
138,2,0,3,0,1,0
139,2,0,1,0,3,0
140,2,0,3,0,2,1
141,2,1,3,0,0,1
142,2,1,3,1,2,1
143,2,0,3,0,0,0
144,2,0,2,0,1,0
145,2,0,2,1,3,0
146,2,1,3,0,0,0
147,1,0,3,2,3,1
148,3,0,2,0,2,0
149,4,0,2,0,1,0
150,4,0,2,0,1,0
151,2,1,1,1,3,1
152,5,0,3,0,1,0
153,4,0,3,0,2,0
154,2,0,3,0,0,0
155,4,0,1,0,3,0
156,2,1,3,0,0,1
157,2,0,3,0,1,0
158,2,0,3,0,1,0
159,2,0,3,8,3,0
160,4,0,3,0,2,0
161,3,1,2,0,2,1
162,2,0,3,0,0,0
163,2,0,3,0,1,0
164,0,0,3,4,3,0
165,1,1,3,0,2,0
166,2,1,1,0,3,1
167,4,0,3,1,2,1
168,2,0,1,0,2,0
169,2,0,3,0,3,0
170,5,0,1,0,3,0
171,0,0,3,4,2,0
172,0,1,3,1,1,1
173,2,0,3,0,1,0
174,5,0,1,0,2,0
175,2,0,3,1,0,0
